﻿Title:,"Table 11 - Head of provider remuneration"
Subtitle:,"Academic years 2016/17 to 2021/22"
Reference ID:,DT031 Table 11
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2020/21 
,Head of provider,Head of provider at financial year end 
,Financial Year End,All 
Search:,


"","","","","","","(£000s)","","",""
"UKPRN","HE Provider","Financial Year End","Start date of service in head of provider role (YYYY-MM-DD)","End date of service in head of provider role (YYYY-MM-DD)","Total remuneration (before salary sacrifice)","Head of the provider's basic salary divided by the median pay (salary)","Head of the provider's total remuneration divided by the median total remuneration."
"10005553","Royal Holloway and Bedford New College","2021-07-31","","","314","8.0","8.3"
"10007837","Royal Northern College of Music","2021-07-31","","","196","3.9","4.4"
"10007779","The Royal Veterinary College","2021-07-31","","","371","7.4","9.1"
"10007803","The University of St. Andrews","2021-07-31","","","305","7.2","7.5"
"10007839","SAE Education Limited","2021-06-30","","","112","3.2","3.8"
"10007782","St George's, University of London","2021-07-31","","","256","6.4","6.4"
"10008026","St Mary's University College","2021-07-31","","","154","3.1","3.1"
"10007843","St Mary's University, Twickenham","2021-07-31","","","260","5.2","5.9"
"10007156","The University of Salford","2021-07-31","","","219","6.1","5.4"
"10021256","The Salvation Army","2021-03-31","","","31","0.5","0.6"
"10007780","SOAS University of London","2021-07-31","","","162","6.1","7.1"
"10005700","SRUC","2021-07-31","","","257","6.6","7.5"
"10005790","Sheffield Hallam University","2021-07-31","","","257","7.1","7.3"
"10007157","The University of Sheffield","2021-07-31","","","379","8.8","9.3"
"10023458","The Sherwood Psychotherapy Training Institute Limited","2020-08-31","","","38","2.2","2.0"
"10006022","Solent University","2021-07-31","","","210","5.9","5.6"
"10007158","The University of Southampton","2021-07-31","","","331","9.0","9.3"
"10006093","Spurgeon's College","2021-07-31","20171011","","80","1.6","2.7"
"10006299","Staffordshire University","2021-07-31","","","0","0.0","0.0"
"10008098","Study Group","2020-12-31","","","234","6.3","7.6"
"10007804","The University of Stirling","2021-07-31","","","298","6.7","6.8"
